trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-107.0493371518022,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-72.0993826093711,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-177.9724229358711,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",30,3,-187.93941664500022,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 4}",1
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-234.1425555444327,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 4}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,6,-10.817738600301702,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,0,-182.37066279027815,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-53.44737919350972,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,1,-44.584223856091285,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 0}",1
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",30,0,-64.75074403168023,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",30,0,-17.69125640068917,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",35,8,-6.811266571460603,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",25,0,-53.6066870507853,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,-108.28604142397998,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,0,-9.162827608580205,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,5,-53.49832260890192,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",30,11,15.73230002431381,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,1,-15.627207084075984,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,15,-13.563522340265266,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'e': 0, 'a': 0.5}",25,0,36.24750559843668,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",30,24,9.688631176477621,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",30,7,25.328867758318154,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",25,11,-1.4124861023685145,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,11,12.27544677531089,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",25,2,21.13879385334435,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",20,0,30.281695818490448,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",25,15,17.725687010946665,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",20,3,8.453754733685075,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",25,13,-76.84259230034036,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
10,True,"{'e': 0, 'a': 0}",20,0,31.269731190253015,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
