trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9999999550000004, 'a': 0.5}",20,0,-30.86354990514156,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,False,"{'e': 0.9999998200000054, 'a': 0.5}",20,0,-150.67969982563437,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
3,False,"{'e': 0.9999995950000273, 'a': 0.5}",20,0,-67.83980339886037,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'e': 0.9999992800000864, 'a': 0.5}",20,0,-150.88107608796398,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'e': 0.9999988750002109, 'a': 0.5}",30,0,-53.02696787849419,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
6,False,"{'e': 0.9999983800004374, 'a': 0.5}",25,0,-116.59408742861505,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,False,"{'e': 0.9999977950008103, 'a': 0.5}",20,0,-138.3283515752681,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'e': 0.9999971200013824, 'a': 0.5}",30,0,-96.23505393181469,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
9,False,"{'e': 0.9999963550022143, 'a': 0.5}",30,0,-72.2000501554367,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
10,False,"{'e': 0.999995500003375, 'a': 0.5}",20,0,-200.10926724137465,"{0: 9, 1: 3, 2: 2, 3: 3, 4: 3}",0
11,False,"{'e': 0.9999945550049414, 'a': 0.5}",25,0,-111.10758187490367,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
12,False,"{'e': 0.9999935200069984, 'a': 0.5}",20,0,-125.11523357202418,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
13,False,"{'e': 0.9999923950096393, 'a': 0.5}",20,0,-119.6659442998145,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
14,False,"{'e': 0.9999911800129654, 'a': 0.5}",20,0,-40.025657632869326,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
15,False,"{'e': 0.9999898750170859, 'a': 0.5}",35,0,-143.39829530788796,"{0: 20, 1: 4, 2: 9, 3: 1, 4: 1}",0
16,False,"{'e': 0.9999884800221184, 'a': 0.5}",20,0,-107.6089833910789,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'e': 0.9999869950281883, 'a': 0.5}",30,0,-147.74427143312073,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
18,False,"{'e': 0.9999854200354293, 'a': 0.5}",25,18,-11.99982595880504,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'e': 0.9999837550439833, 'a': 0.5}",30,0,-106.33781941636656,"{0: 22, 1: 4, 2: 1, 3: 1, 4: 2}",0
20,False,"{'e': 0.999982000054, 'a': 0.5}",20,0,-57.29625380272558,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
21,False,"{'e': 0.9999801550656372, 'a': 0.5}",20,0,-115.09225054529578,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
22,False,"{'e': 0.9999782200790612, 'a': 0.5}",30,0,-117.80885644735186,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
23,False,"{'e': 0.9999761950944462, 'a': 0.5}",25,0,-146.9392980305978,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
24,False,"{'e': 0.9999740801119742, 'a': 0.5}",20,0,-84.17353056251875,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
25,False,"{'e': 0.9999718751318357, 'a': 0.5}",20,0,-112.36933012716783,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
26,False,"{'e': 0.9999695801542291, 'a': 0.5}",20,0,-68.8943914711214,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
27,False,"{'e': 0.999967195179361, 'a': 0.5}",20,0,-50.98080373066601,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
28,False,"{'e': 0.9999647202074459, 'a': 0.5}",30,0,-174.72645303594,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
29,False,"{'e': 0.9999621552387067, 'a': 0.5}",25,0,-182.71239075595588,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
30,False,"{'e': 0.9999595002733742, 'a': 0.5}",20,0,-79.80701693879371,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
31,False,"{'e': 0.9999567553116875, 'a': 0.5}",25,0,-225.6854957755409,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
32,False,"{'e': 0.9999539203538933, 'a': 0.5}",30,0,-210.20692871429063,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
33,False,"{'e': 0.999950995400247, 'a': 0.5}",20,0,-45.376748745495256,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
34,False,"{'e': 0.9999479804510119, 'a': 0.5}",30,0,-311.0494125099191,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 7}",0
35,False,"{'e': 0.999944875506459, 'a': 0.5}",20,0,-136.60074448885229,"{0: 11, 1: 6, 2: 0, 3: 0, 4: 3}",0
36,False,"{'e': 0.9999416805668682, 'a': 0.5}",25,0,-71.36452240260817,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
37,False,"{'e': 0.9999383956325267, 'a': 0.5}",20,0,-106.5601728661926,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
38,False,"{'e': 0.9999350207037303, 'a': 0.5}",25,0,-153.87813198154367,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
39,False,"{'e': 0.9999315557807827, 'a': 0.5}",25,0,-172.62080329739314,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
40,False,"{'e': 0.9999280008639958, 'a': 0.5}",20,0,-163.48503416685165,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
41,False,"{'e': 0.9999243559536896, 'a': 0.5}",20,0,-303.98886119187887,"{0: 7, 1: 0, 2: 7, 3: 0, 4: 6}",0
42,False,"{'e': 0.9999206210501919, 'a': 0.5}",20,0,-124.78853293953664,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
43,False,"{'e': 0.9999167961538389, 'a': 0.5}",20,0,-59.95356443348372,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
44,False,"{'e': 0.999912881264975, 'a': 0.5}",25,0,-114.79243463870291,"{0: 11, 1: 7, 2: 5, 3: 2, 4: 0}",0
45,False,"{'e': 0.9999088763839525, 'a': 0.5}",20,0,-95.66710336385341,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
46,False,"{'e': 0.9999047815111318, 'a': 0.5}",25,0,-48.290105900047266,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
47,False,"{'e': 0.9999005966468815, 'a': 0.5}",20,0,-130.1376084136014,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
48,False,"{'e': 0.9998963217915781, 'a': 0.5}",25,0,-176.89597664701478,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
49,False,"{'e': 0.9998919569456063, 'a': 0.5}",25,0,-263.33044436238265,"{0: 7, 1: 8, 2: 5, 3: 1, 4: 4}",0
50,False,"{'e': 0.9998875021093592, 'a': 0.5}",30,0,-130.55706157064577,"{0: 18, 1: 1, 2: 8, 3: 3, 4: 0}",0
51,False,"{'e': 0.9998829572832375, 'a': 0.5}",25,5,-102.03323799037621,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",1
52,False,"{'e': 0.9998783224676504, 'a': 0.5}",20,0,-57.729883960138636,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
53,False,"{'e': 0.9998735976630149, 'a': 0.5}",20,5,-49.46852899582605,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 0}",1
54,False,"{'e': 0.9998687828697563, 'a': 0.5}",25,0,-231.21307420647548,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 5}",0
55,False,"{'e': 0.9998638780883079, 'a': 0.5}",20,0,-53.33052261803971,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
56,False,"{'e': 0.9998588833191112, 'a': 0.5}",25,0,-88.99667623223735,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
57,False,"{'e': 0.9998537985626156, 'a': 0.5}",20,0,-27.801608654850348,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
58,False,"{'e': 0.9998486238192789, 'a': 0.5}",25,0,-227.45741174407888,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
59,False,"{'e': 0.9998433590895667, 'a': 0.5}",35,0,-150.0960698063354,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
60,False,"{'e': 0.9998380043739528, 'a': 0.5}",20,0,-58.6591816846841,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
61,False,"{'e': 0.9998325596729192, 'a': 0.5}",20,0,-230.03433193756075,"{0: 8, 1: 4, 2: 2, 3: 2, 4: 4}",0
62,False,"{'e': 0.9998270249869559, 'a': 0.5}",25,0,-90.79800407085116,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
63,False,"{'e': 0.9998214003165611, 'a': 0.5}",20,0,-127.04807023860239,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
64,False,"{'e': 0.9998156856622408, 'a': 0.5}",25,5,-82.11023607362155,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",1
65,False,"{'e': 0.9998098810245096, 'a': 0.5}",25,0,-173.30542445745377,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
66,False,"{'e': 0.9998039864038897, 'a': 0.5}",20,0,-136.91524502664817,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
67,False,"{'e': 0.9997980018009117, 'a': 0.5}",30,0,-181.08970454470543,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
68,False,"{'e': 0.9997919272161143, 'a': 0.5}",25,0,-162.90065567659423,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
69,False,"{'e': 0.999785762650044, 'a': 0.5}",25,5,-137.50918426526164,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",1
70,False,"{'e': 0.9997795081032559, 'a': 0.5}",20,14,-11.27018365012946,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'e': 0.9997731635763126, 'a': 0.5}",35,0,-275.0170024929429,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 5}",0
72,False,"{'e': 0.9997667290697854, 'a': 0.5}",20,0,-126.22671486691257,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
73,False,"{'e': 0.9997602045842531, 'a': 0.5}",20,0,-89.29715641093804,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
74,False,"{'e': 0.9997535901203032, 'a': 0.5}",20,0,-118.67945152755745,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
75,False,"{'e': 0.9997468856785308, 'a': 0.5}",20,0,-207.01719961766588,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
76,False,"{'e': 0.9997400912595393, 'a': 0.5}",25,17,-49.411516573796746,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
77,False,"{'e': 0.9997332068639403, 'a': 0.5}",30,6,-81.00689324421636,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 1}",1
78,False,"{'e': 0.9997262324923534, 'a': 0.5}",20,0,-77.76866604786302,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
79,False,"{'e': 0.9997191681454062, 'a': 0.5}",25,0,-116.9549446685927,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
80,False,"{'e': 0.9997120138237345, 'a': 0.5}",20,0,-113.90728532365787,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
81,False,"{'e': 0.9997047695279824, 'a': 0.5}",25,0,-40.606746549227736,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
82,False,"{'e': 0.9996974352588016, 'a': 0.5}",25,0,-179.75881081241386,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
83,False,"{'e': 0.9996900110168523, 'a': 0.5}",25,0,-123.29193076798944,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
84,False,"{'e': 0.9996824968028027, 'a': 0.5}",35,0,-200.65212320129535,"{0: 19, 1: 3, 2: 9, 3: 2, 4: 2}",0
85,False,"{'e': 0.9996748926173291, 'a': 0.5}",25,0,-209.45931955030733,"{0: 10, 1: 6, 2: 5, 3: 1, 4: 3}",0
86,False,"{'e': 0.9996671984611157, 'a': 0.5}",20,0,-171.57040874732562,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
87,False,"{'e': 0.9996594143348553, 'a': 0.5}",20,14,-10.844899528068511,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'e': 0.9996515402392482, 'a': 0.5}",20,0,-178.0211487502141,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
89,False,"{'e': 0.9996435761750031, 'a': 0.5}",20,0,-150.43858980535722,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 3}",0
90,False,"{'e': 0.9996355221428369, 'a': 0.5}",25,0,-51.95718015531438,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
