trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-83.549770580066,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-165.8937711610772,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
3,False,"{'e': 1.0, 'a': 0.5}",25,0,-68.14331185972337,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
4,False,"{'e': 1.0, 'a': 0.5}",30,0,-119.06498303583487,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",30,0,-106.2373353221743,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",25,0,-125.29271062556636,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
7,False,"{'e': 1.0, 'a': 0.5}",20,0,-21.042936484535407,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
8,False,"{'e': 1.0, 'a': 0.5}",20,0,-118.61192778116671,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'e': 1.0, 'a': 0.5}",20,0,-124.51524894619257,"{0: 8, 1: 4, 2: 5, 3: 3, 4: 0}",0
10,False,"{'e': 1.0, 'a': 0.5}",20,0,-225.04497365914335,"{0: 9, 1: 3, 2: 2, 3: 2, 4: 4}",0
11,False,"{'e': 1.0, 'a': 0.5}",35,0,-181.11096583599306,"{0: 20, 1: 5, 2: 6, 3: 2, 4: 2}",0
12,False,"{'e': 1.0, 'a': 0.5}",30,0,-121.24199768532618,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
13,False,"{'e': 1.0, 'a': 0.5}",25,0,-99.30384829898868,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
14,False,"{'e': 1.0, 'a': 0.5}",30,0,-203.97998703651413,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",1
15,False,"{'e': 1.0, 'a': 0.5}",30,0,-175.2888047154904,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
16,False,"{'e': 1.0, 'a': 0.5}",25,0,-109.22391680112497,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
17,False,"{'e': 1.0, 'a': 0.5}",30,10,-118.49434520910258,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",1
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-144.9908452297546,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,0,-110.12548382202914,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-122.40556523096708,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
1,True,"{'e': 1.0, 'a': 0.5}",20,4,-104.31577527034335,"{0: 5, 1: 4, 2: 5, 3: 2, 4: 0}",1
2,True,"{'e': 1.0, 'a': 0.5}",20,0,-54.73616014632572,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-84.13603504023516,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-117.00730253372423,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,0,-90.73180492582355,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,True,"{'e': 1.0, 'a': 0.5}",25,3,-88.36224127981365,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 1}",1
7,True,"{'e': 1.0, 'a': 0.5}",30,0,-28.3137038677943,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,True,"{'e': 1.0, 'a': 0.5}",20,0,-28.25610567174594,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-118.59057481304201,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
10,True,"{'e': 1.0, 'a': 0.5}",25,0,-79.74416871965317,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
